,0,1,2,3
tt3170832,"['Drama', 'Thriller']",117.0,2015-10-16,7.4
tt1355683,"['Drama', 'Crime']",122.0,2015-09-04,7.4
tt2719848,"['Adventure', 'Drama']",121.0,2015-09-10,7.4
tt2120120,"['Action', 'Comedy', 'Science Fiction']",105.0,2015-07-16,7.4
tt1596363,"['Comedy', 'Drama']",131.0,2015-12-11,7.4
tt2080374,"['Drama', 'History']",122.0,2015-10-09,7.4
tt2820852,"['Action', 'Crime', 'Thriller', 'Drama']",137.0,2015-04-01,7.4
tt2096673,"['Drama', 'Comedy', 'Animation', 'Family']",95.0,2015-06-09,7.4
tt3079380,"['Action', 'Comedy', 'Crime']",120.0,2015-05-06,7.4
tt1823672,"['Crime', 'Action', 'Science Fiction']",120.0,2015-03-04,7.4
tt3152624,"['Comedy', 'Romance']",125.0,2015-07-17,7.4
tt3460252,"['Crime', 'Drama', 'Mystery', 'Western']",188.0,2015-12-25,7.4
tt2554274,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'Thriller']",119.0,2015-10-13,7.4
tt2848292,"['Comedy', 'Music']",115.0,2015-05-07,7.4
tt1398426,"['Drama', 'Music']",147.0,2015-08-13,7.4
tt1663202,"['Western', 'Drama', 'Adventure', 'Thriller']",157.0,2015-12-25,7.4
tt0369610,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",124.0,2015-06-06,7.4
tt1661199,"['Romance', 'Fantasy', 'Family', 'Drama']",105.0,2015-03-12,7.4
tt2361509,['Comedy'],121.0,2015-09-24,7.4
tt1895587,"['Drama', 'Thriller', 'History']",129.0,2015-11-06,7.4
tt2395427,"['Action', 'Adventure', 'Science Fiction']",141.0,2015-04-22,7.4
tt2379713,"['Action', 'Adventure', 'Crime']",148.0,2015-10-26,7.4
tt2381941,"['Romance', 'Comedy', 'Crime', 'Drama']",105.0,2015-02-25,7.4
